Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
BEIJING INFRASTRUCTURE INVESTMENT CO LTD,Non-Sovereign,Private Institution,Homebuilding (NEC),,,,,,Social Bond,,2019,Chinese Yuan,109766472,Fixed Coupon,4.3,,2.2,,
KUNTARAHOITUS OYJ,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,516350000,Fixed Coupon,0.1,,2.2,,
CHINA THREE GORGES CORP,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,Self-Labeled Green Bond,2019,Chinese Yuan,411624269,Fixed Coupon,4.3,,2.2,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Sustainability Bond,,2019,South Korean Won,447214883,Fixed Coupon,1.7,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Mexican Peso,1458683,Fixed Coupon,5.2,,2.2,,
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,2000000000,Fixed Coupon,1.8,,2.2,,
KOREA STUDENT AID FOUNDATION,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Social Bond,,2019,South Korean Won,13760458,Fixed Coupon,1.5,,2.2,,
JAPAN INTERNATIONAL COOPERATION AGENCY,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Social Bond,,2019,Japanese Yen,79260238,Fixed Coupon,0.1,,2.2,,
NOMURA REAL ESTATE MASTER FUND INC,Non-Sovereign,Private Institution,Diversified REITs,,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,19815059,Fixed Coupon,0.5,,2.2,,
INCORPORATED ADMINISTRATIVE AGENCY JAPAN HOUSING FINANCE AGENCY,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,132100396,Fixed Coupon,0.1,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,US Dollar,1370000,Discount/Zero Coupon,0.0,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Canadian Dollar,174898559,Fixed Coupon,2.0,,2.2,,
SK ENERGY CO LTD,Non-Sovereign,Private Institution,Oil & Gas Refining and Marketing (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,South Korean Won,82562748,Fixed Coupon,1.8,,2.2,,
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,10000000,Fixed Coupon,3.0,,2.2,,
NATIXIS SA,Non-Sovereign,Private Institution,Diversified Investment Services,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,4930110,Range Coupon,0.0,,2.2,,
EUROPEAN INVESTMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,1000000000,Fixed Coupon,1.6,,2.2,,
EDRA SOLAR SDN BHD,Non-Sovereign,Private Institution,Solar Electric Utilities,,,,,,Sustainability Bond,,2019,Malaysian Ringgit,7888213,Fixed Coupon,4.5,,2.2,,
IREN SPA,Non-Sovereign,Private Institution,Multiline Utilities,,,,,,Green Bond,Self-Labeled Green Bond,2019,Euro,516350000,Fixed Coupon,0.9,,2.2,,
NRW BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,516350000,Fixed Coupon,0.0,,2.2,,
INCORPORATED ADMINISTRATIVE AGENCY JAPAN HOUSING FINANCE AGENCY,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,132100396,Fixed Coupon,0.1,,2.2,,
EIDSIVA ENERGI AS,Non-Sovereign,Private Institution,Power & Communications Network Construction,,,,,,Green Bond,CBI Aligned Green bond,2019,Norwegian Krone,89025791,Fixed Coupon,2.5,,2.2,,
HAMBURGISCHE INVESTITIONSUND FOERDERBANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2019,Euro,258175000,Fixed Coupon,0.0,,2.2,,
KOREA STUDENT AID FOUNDATION,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Social Bond,,2019,South Korean Won,34401145,Fixed Coupon,1.7,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,US Dollar,2450000000,Fixed Coupon,1.8,,2.2,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,774525000,Fixed Coupon,0.0,,2.2,,
H U  GROUP HOLDINGS INC,Non-Sovereign,Private Institution,Medical & Diagnostic Laboratories,,,,,,Social Bond,,2019,Japanese Yen,33025099,Fixed Coupon,0.3,,2.2,,
GS CALTEX CORP,Non-Sovereign,Private Institution,Oil & Gas Refining and Marketing (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,South Korean Won,48161603,Fixed Coupon,2.0,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Indian Rupee,6847205,Discount/Zero Coupon,0.0,,2.2,,
PV-INVEST GMBH,Non-Sovereign,Private Institution,Solar Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,2631320,Fixed Coupon,4.5,,2.2,,
SOCIETE GENERALE SA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Euro,14500141,Discount/Zero Coupon,0.0,,2.2,,
BERLIN HYP AG,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,516350000,Fixed Coupon,0.5,,2.2,,
DEUTSCHE KREDITBANK AG,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2019,Euro,516350000,Fixed Coupon,0.0,,2.2,,
INTERNATIONAL FINANCE CORP,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Swedish Krona,199276025,Fixed Coupon,1.1,,2.2,,
LANDESBANK BADEN WUERTTEMBERG,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Euro,24784800,Variable Coupon,0.3,,2.2,,
CAISSE FRANCAISE DE FINANCEMENT LOCAL SA,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,774525000,Fixed Coupon,0.1,,2.2,,
KOREA STUDENT AID FOUNDATION,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Social Bond,,2019,South Korean Won,27520916,Fixed Coupon,1.9,,2.2,,
ZHEJIANG DEQING JIAOYUN INVESTMENT AND CONSTRUCTION CO LTD,Non-Sovereign,Private Institution,Unknown,,,,,,Green Bond,Self-Labeled Green Bond,2019,Chinese Yuan,34302022,Fixed Coupon,6.5,,2.2,,
STEDIN HOLDING NV,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,516350000,Fixed Coupon,0.5,,2.2,,
MORI BUILDING CO LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,99075297,Fixed Coupon,0.3,,2.2,,
SKF AB,Non-Sovereign,Private Institution,Industrial Machinery & Equipment (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Euro,309810000,Fixed Coupon,0.9,,2.2,,
EUROPEAN INVESTMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Polish Zloty,246627371,Fixed Coupon,2.9,,2.2,,
DUKE REALTY LIMITED PARTNERSHIP,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,400000000,Fixed Coupon,2.9,,2.2,,
ACTIVIA PROPERTIES INC,Non-Sovereign,Private Institution,Commercial REITs (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,26420079,Fixed Coupon,0.5,,2.2,,
BNG BANK NV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Euro,774525000,Fixed Coupon,0.1,,2.2,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Euro,1032700000,Floating Coupon,1.1,,2.2,,
DAIWA HOUSE REIT INVESTMENT CORP,Non-Sovereign,Private Institution,Diversified REITs,,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,39630119,Fixed Coupon,0.5,,2.2,,
GUNMA BANK LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,66050198,Floating Coupon,0.4,,2.2,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,100000000,Fixed Coupon,2.7,,2.2,,
NORTH-RHINE WESTPHALIA  STATE OF,Non-Sovereign,Government,Government & Government Finance (NEC),,,,,,Sustainability Bond,,2019,Euro,1032700000,Fixed Coupon,0.0,,2.2,,
GLP J-REIT,Non-Sovereign,Private Institution,Industrial REITs,,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,33025099,Fixed Coupon,0.6,,2.2,,
JAPAN RAILWAY CONSTRUCTION TRANSPORT AND TECHNOLOGY AGENCY,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Certified Green Bond,2019,Japanese Yen,66050198,Fixed Coupon,0.1,,2.2,,
EAST NIPPON EXPRESSWAY CO LTD,Non-Sovereign,Private Institution,Highway Operators,,,,,,Social Bond,,2019,Japanese Yen,264200793,Fixed Coupon,0.1,,2.2,,
DUKE ENERGY FLORIDA LLC,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,700000000,Fixed Coupon,2.5,,2.2,,
TURKIYE IS BANKASI AS,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,50000000,Fixed Coupon,8.1,,2.2,,
FIRST ABU DHABI BANK PJSC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,50000000,Floating Coupon,5.7,,2.2,,
GUANGZHOU WATER INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Water & Related Utilities (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Chinese Yuan,137208090,Variable Coupon,1.0,,2.2,,
AEON REIT INVESTMENT CORP,Non-Sovereign,Private Institution,Retail REITs,,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,79260238,Fixed Coupon,0.7,,2.2,,
CREDIT AGRICOLE HOME LOAN SFH SA,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,1290875000,Fixed Coupon,0.1,,2.2,,
NORSKE TOG AS,Non-Sovereign,Private Institution,Rail Services,,,,,,Green Bond,CBI Aligned Green bond,2019,Norwegian Krone,80123212,Fixed Coupon,2.6,,2.2,,
MITSUBISHI UFJ FINANCIAL GROUP INC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2019,US Dollar,90000000,Fixed Coupon,2.8,,2.2,,
SEIBU HOLDINGS INC,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,66050198,Fixed Coupon,0.3,,2.2,,
UNITING CHURCH (NSW) TRUST ASSOCIATION LTD,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Sustainability Bond,,2019,Australian Dollar,18813000,Floating Coupon,8.4,,2.2,,
BANK OF NAGOYA LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Japanese Yen,66050198,Floating Coupon,0.4,,2.2,,
NATIXIS SA,Non-Sovereign,Private Institution,Diversified Investment Services,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,30981000,Discount/Zero Coupon,0.0,,2.2,,
CONSERVATION FUND A NONPROFIT CORP,Non-Sovereign,Non-governmental Organization,Environmental Organizations,,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,150000000,Fixed Coupon,3.5,,2.2,,
HOST HOTELS & RESORTS LP,Non-Sovereign,Private Institution,Hotels. Motels & Cruise Lines (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,650000000,Fixed Coupon,3.4,,2.2,,
ISA ENERGIA BRASIL SA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Brazilian Real,70502773,Fixed Coupon,3.5,,2.2,,
TAIWAN POWER CO,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Taiwanese Dollar,178179825,Fixed Coupon,0.9,,2.2,,
KDX REALTY INVESTMENT CORP,Non-Sovereign,Private Institution,Diversified REITs,,,,,,Social Bond,,2019,Japanese Yen,13210040,Fixed Coupon,0.8,,2.2,,
PNB MERDEKA VENTURES SDN BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,22537751,Fixed Coupon,4.6,,2.2,,
BROOKFIELD RENEWABLE PARTNERS ULC,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Canadian Dollar,332307262,Fixed Coupon,3.4,,2.2,,
CELULOSA ARAUCO Y CONSTITUCION SA,Non-Sovereign,Private Institution,Forest & Wood Products (NEC),,,,,,Sustainability Bond,,2019,US Dollar,500000000,Fixed Coupon,4.2,,2.2,,
CELULOSA ARAUCO Y CONSTITUCION SA,Non-Sovereign,Private Institution,Forest & Wood Products (NEC),,,,,,Sustainability Bond,,2019,US Dollar,500000000,Fixed Coupon,4.2,,2.2,,
SHINHAN FINANCIAL GROUP CO LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,US Dollar,500000000,Floating Coupon,3.3,,2.2,,
SHINHAN FINANCIAL GROUP CO LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,US Dollar,500000000,Floating Coupon,3.3,,2.2,,
PSP SWISS PROPERTY AG,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Swiss Franc,109962613,Fixed Coupon,0.0,,2.2,,
E ON SE,Non-Sovereign,Private Institution,Multiline Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,774525000,Fixed Coupon,0.4,,2.2,,
MAF SUKUK LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,600000000,Fixed Coupon,3.9,,2.2,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2019,Australian Dollar,137962000,Fixed Coupon,1.6,,2.2,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Norwegian Krone,8902579,Fixed Coupon,3.0,,2.2,,
MACQUARIE UNIVERSITY,Non-Sovereign,Private Institution,Universities,,,,,,Sustainability Bond,,2019,Australian Dollar,100336000,Fixed Coupon,2.3,,2.2,,
HOUSING AUSTRALIA,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2019,Australian Dollar,197536500,Fixed Coupon,1.5,,2.2,,
TENNET HOLDING BV,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,516350000,Fixed Coupon,0.9,,2.2,,
ESB FINANCE DAC,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,722890000,Fixed Coupon,1.1,,2.2,,
NETHERLANDS DEVELOPMENT FINANCE COMPANY NV,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2019,US Dollar,36932000,Discount/Zero Coupon,0.0,,2.2,,
BUSTADKREDITT SOGN OG FJORDANE AS,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2019,Norwegian Krone,89025791,Fixed Coupon,2.3,,2.2,,
CYPARK REF SDN BHD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,5634438,Fixed Coupon,5.3,,2.2,,
TELEKOSANG HYDRO ONE SDN BHD,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,7888213,Fixed Coupon,5.2,,2.2,,
ASSICURAZIONI GENERALI SPA,Non-Sovereign,Private Institution,Life & Health Insurance (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,774525000,Fixed Coupon,2.1,,2.2,,
ENGIE SA,Non-Sovereign,Private Institution,Multiline Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,929430000,Fixed Coupon,0.5,,2.2,,
PNB MERDEKA VENTURES SDN BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,23664638,Fixed Coupon,4.7,,2.2,,
NATIONAL BANK OF CANADA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Euro,41308000,Floating Coupon,0.4,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,US Dollar,100000000,Discount/Zero Coupon,0.0,,2.2,,
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,200860150,Floating Coupon,0.3,,2.2,,
CYPARK REF SDN BHD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,6761325,Fixed Coupon,5.3,,2.2,,
CHILE  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Latin America & Caribbean,High income,Developing,Chile,CHL,Green Bond,CBI Certified Green Bond,2019,Euro,2018603200,Fixed Coupon,0.8,,2.2,70.1, 68.6 
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Uruguayan Peso,52590500,Discount/Zero Coupon,0.0,,2.2,,
OTTO GMBH & CO KG,Non-Sovereign,Private Institution,Department Stores (NEC),,,,,,Sustainability Bond,,2019,Euro,30981000,Fixed Coupon,3.4,,2.2,,
BANCO DE CHILE,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Hong Kong Dollar,47749852,Fixed Coupon,2.9,,2.2,,
TELEKOSANG HYDRO ONE SDN BHD,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,7888213,Fixed Coupon,5.2,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Colombian Peso,66182688,Discount/Zero Coupon,0.0,,2.2,,
COVIVIO SA,Non-Sovereign,Private Institution,Commercial REITs (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,618587300,Fixed Coupon,1.1,,2.2,,
EDRA SOLAR SDN BHD,Non-Sovereign,Private Institution,Solar Electric Utilities,,,,,,Sustainability Bond,,2019,Malaysian Ringgit,7888213,Fixed Coupon,4.7,,2.2,,
EUROPEAN INVESTMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Danish Krone,623052960,Fixed Coupon,0.0,,2.2,,
APPLE INC,Non-Sovereign,Private Institution,Phones & Smart Phones,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,1032700000,Fixed Coupon,0.5,,2.2,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Australian Dollar,15677500,Fixed Coupon,2.8,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Uruguayan Peso,8743371,Discount/Zero Coupon,0.0,,2.2,,
PNB MERDEKA VENTURES SDN BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,27045301,Fixed Coupon,4.7,,2.2,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Swedish Krona,45705510,Fixed Coupon,1.3,,2.2,,
GENEVA  CANTON OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,CBI Aligned Green bond,2019,Swiss Franc,313393446,Fixed Coupon,0.1,,2.2,,
ALLIANDER NV,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,309810000,Fixed Coupon,0.9,,2.2,,
CYPARK REF SDN BHD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,6761325,Fixed Coupon,5.4,,2.2,,
TELEKOSANG HYDRO ONE SDN BHD,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,7888213,Fixed Coupon,5.3,,2.2,,
LANDESBANK BADEN WUERTTEMBERG,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2019,Euro,24784800,Variable Coupon,0.4,,2.2,,
PNB MERDEKA VENTURES SDN BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,24791526,Fixed Coupon,4.8,,2.2,,
PNB MERDEKA VENTURES SDN BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,49583052,Fixed Coupon,5.0,,2.2,,
OERSTED A/S,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,British Pound,372270000,Fixed Coupon,2.5,,2.2,,
NEOENERGIA SA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Brazilian Real,84691688,Fixed Coupon,4.2,,2.2,,
P&A ENERGIA SPA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,8623045,Floating Coupon,5.6,,2.2,,
CYPARK REF SDN BHD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,6761325,Fixed Coupon,5.5,,2.2,,
TELEKOSANG HYDRO ONE SDN BHD,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,CBI Aligned Green bond,2019,Malaysian Ringgit,9015100,Fixed Coupon,5.4,,2.2,,
BASEL STADT  CANTON OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,CBI Aligned Green bond,2019,Swiss Franc,109962613,Fixed Coupon,0.5,,2.2,,
NORTH-RHINE WESTPHALIA  STATE OF,Non-Sovereign,Government,Government & Government Finance (NEC),,,,,,Sustainability Bond,,2019,Euro,2323575000,Fixed Coupon,1.1,,2.2,,
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,77452500,Floating Coupon,0.0,,2.2,,
HYSAN MTN LTD,Non-Sovereign,Private Institution,Office Real Estate Rental & Development,,,,,,Green Bond,CBI Aligned Green bond,2019,Hong Kong Dollar,64179909,Fixed Coupon,3.6,,2.2,,
NATIONAL BANK OF CANADA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Euro,51635000,Floating Coupon,1.1,,2.2,,
CONSORCIO TRANSMANTARO SA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,600000000,Fixed Coupon,4.7,,2.2,,
CONSORCIO TRANSMANTARO SA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,US Dollar,600000000,Fixed Coupon,4.7,,2.2,,
WALLONIE  STATE OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Sustainability Bond,,2019,Euro,722890000,Fixed Coupon,1.3,,2.2,,
OERSTED A/S,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,British Pound,310225000,Fixed Coupon,0.4,,2.2,,
NATIONAL BANK OF CANADA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Euro,41308000,Floating Coupon,0.0,,2.2,,
BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SNC IBD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2019,Mexican Peso,20193475,Fixed Coupon,4.0,,2.2,,
SOCIETE DES GRANDS PROJETS,Non-Sovereign,Private Institution,Inter-Modal Passenger Transportation,,,,,,Green Bond,CBI Certified Green Bond,2019,Euro,2065400000,Fixed Coupon,1.1,,2.2,,
GECINA SA,Non-Sovereign,Private Institution,Diversified REITs,,,,,,Green Bond,CBI Aligned Green bond,2019,Euro,722890000,Fixed Coupon,1.6,,2.2,,
JAPAN RAILWAY CONSTRUCTION TRANSPORT AND TECHNOLOGY AGENCY,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Certified Green Bond,2019,Japanese Yen,85865258,Fixed Coupon,0.3,,2.2,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2019,Australian Dollar,18813000,Fixed Coupon,3.3,,2.2,,
