Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,103203435,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Discount/Zero Coupon,0.0,,5.1,,
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,567985000,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,75682519,Discount/Zero Coupon,0.0,,5.1,,
IGIS RESIDENCE REIT CO LTD,Non-Sovereign,Private Institution,Commercial REITs (NEC),,,,,,Social Bond,,2024,South Korean Won,13760458,Fixed Coupon,6.3,,5.1,,
KOREA DEPOSIT INSURANCE CORP,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,144484808,Fixed Coupon,3.5,,5.1,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,British Pound,421906000,Fixed Coupon,5.2,,5.1,,
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,890000,Range Coupon,0.0,,5.1,,
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,200000,Range Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,137604579,Discount/Zero Coupon,0.0,,5.1,,
COOPERATIEVE RABOBANK UA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Euro,23752100,Floating Coupon,3.7,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,96323206,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,165125495,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Floating Coupon,3.1,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,34401145,Discount/Zero Coupon,0.0,,5.1,,
HANAM URBAN INNOVATION CORP,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Social Bond,,2024,South Korean Won,6880229,Fixed Coupon,3.8,,5.1,,
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,390000,Range Coupon,0.0,,5.1,,
CNNC FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,54883236,Fixed Coupon,2.1,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Discount/Zero Coupon,0.0,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,38507945,Fixed Coupon,3.9,,5.1,,
MALAYSIA RAIL LINK SDN BHD,Non-Sovereign,Government,Government Administration Activities,,,,,,Sustainability Bond,,2024,Malaysian Ringgit,169033130,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,240808014,Floating Coupon,3.1,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,275209159,Discount/Zero Coupon,0.0,,5.1,,
HONGKONG AND SHANGHAI BANKING CORPORATION LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,22000000,Discount/Zero Coupon,0.0,,5.1,,
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,220000,Range Coupon,0.0,,5.1,,
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,374808138,Discount/Zero Coupon,0.0,,5.1,,
SAMAIDEN GROUP BHD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Malaysian Ringgit,2253775,Discount/Zero Coupon,0.0,,5.1,,
COOPERATIEVE RABOBANK UA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Euro,20654000,Floating Coupon,3.7,,5.1,,
GUONENG ENVIRONMENTAL PROTECTION INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Environmental Services & Equipment (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,210000000,Fixed Coupon,5.8,,5.1,,
PYEONGTAEK URBAN CORP,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Social Bond,,2024,South Korean Won,20640687,Fixed Coupon,3.7,,5.1,,
SHANDONG NUCLEAR POWER CO LTD,Non-Sovereign,Private Institution,Nuclear Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,98789825,Fixed Coupon,2.1,,5.1,,
TURKIYE IS BANKASI AS,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,25898051,Fixed Coupon,5.2,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,25000000,Fixed Coupon,6.8,,5.1,,
TURKIYE IS BANKASI AS,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,60000000,Fixed Coupon,6.8,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,British Pound,40579912,Fixed Coupon,6.7,,5.1,,
MALAYSIA RAIL LINK SDN BHD,Non-Sovereign,Government,Government Administration Activities,,,,,,Sustainability Bond,,2024,Malaysian Ringgit,112688754,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,75682519,Discount/Zero Coupon,0.0,,5.1,,
AKBANK TAS,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,British Pound,27612507,Fixed Coupon,6.9,,5.1,,
IGIS RESIDENCE REIT CO LTD,Non-Sovereign,Private Institution,Commercial REITs (NEC),,,,,,Social Bond,,2024,South Korean Won,27520916,Fixed Coupon,6.2,,5.1,,
PT BANK SYARIAH INDONESIA TBK,Non-Sovereign,Private Institution,Islamic Banks,,,,,,Social Bond,,2024,Indonesian Rupiah,104486785,Floating Coupon,6.7,,5.1,,
DATANG FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Consumer Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,27441618,Fixed Coupon,2.0,,5.1,,
STATE GRID INTERNATIONAL LEASING COMPANY LTD,Non-Sovereign,Private Institution,Consumer Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,54883236,Fixed Coupon,2.0,,5.1,,
QNB BANK AS,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,US Dollar,40000000,Fixed Coupon,5.5,,5.1,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,102687855,Fixed Coupon,4.7,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,15000000,Fixed Coupon,6.6,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,25671964,Fixed Coupon,3.9,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,64179909,Fixed Coupon,3.9,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,38507945,Fixed Coupon,4.0,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,64179909,Fixed Coupon,4.0,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,12835982,Fixed Coupon,4.1,,5.1,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,13760458,Fixed Coupon,5.7,,5.1,,
MALAKOFF POWER BHD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,1126888,Fixed Coupon,4.4,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,38507945,Fixed Coupon,3.8,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,10327000,Fixed Coupon,5.1,,5.1,,
BDO UNIBANK INC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Philippine Peso,1089313371,Fixed Coupon,6.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,137604579,Floating Coupon,3.5,,5.1,,
SCIENCE CITY GUANGZHOU DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,400000000,Fixed Coupon,6.8,,5.1,,
CPI RONGHE FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.1,,5.1,,
