countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
PHL,2019,2.30117498594757,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2018,2.86833826073638,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2017,3.12238778408668,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2016,2.59850803497646,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2015,1.84018010715303,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2014,1.92937522797834,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2013,1.31642638381475,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2012,1.2276300069868,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2011,0.856963002969068,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2010,0.513698049517663,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2009,1.17324821246427,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2008,0.737800589215247,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2007,1.87121245887706,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2006,2.12091886479217,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2005,1.54906009249231,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2004,0.623144777963454,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
VNM,2023,4.30515928686171,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2022,4.3624059864868,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2021,4.27314566190187,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2020,4.55836196782424,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2019,4.821074861051,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2018,4.99828319622328,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2017,5.01148721749681,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2016,4.90089302916746,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2015,4.93190773329022,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2014,3.94086189051961,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2013,4.16454517277325,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2012,4.27832287681174,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2011,4.30487434902161,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2010,5.4347392933443,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2009,7.16881988884276,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2008,9.6630390545572,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2007,8.65471771434805,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2006,3.61600090432522,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2005,3.39040363930871,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
VNM,2004,3.54408107288199,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",VN,Viet Nam
